model,prompt,document,element,precision,recall,f1,source_file
gpt-5.4-mini,FS-R,TR4_p131-132,mainEntry,0.64,0.75,0.69,gpt-5.4-mini_FS-R_TR4_p131-132.json
gpt-5.4-mini,FS-R,TR4_p131-132,relatedEntry,1.00,0.50,0.67,gpt-5.4-mini_FS-R_TR4_p131-132.json
gpt-5.4-mini,FS-R,TR5_p489-490,mainEntry,0.90,0.90,0.90,gpt-5.4-mini_FS-R_TR5_p489-490.json
gpt-5.4-mini,FS-R,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gpt-5.4-mini_FS-R_TR5_p489-490.json
gpt-5.4-mini,FS-R,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_FS-R_TR5_p505-506.json
gpt-5.4-mini,FS-R,TR5_p505-506,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS-R_TR5_p505-506.json
gpt-5.4-mini,FS-R,TR6_p1003-1004,mainEntry,0.95,1.00,0.97,gpt-5.4-mini_FS-R_TR6_p1003-1004.json
gpt-5.4-mini,FS-R,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS-R_TR6_p1003-1004.json
gpt-5.4-mini,FS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_FS_TR1_p2001-2002.json
gpt-5.4-mini,FS,TR1_p2001-2002,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR1_p2001-2002.json
gpt-5.4-mini,FS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5.4-mini_FS_TR1_p453-454.json
gpt-5.4-mini,FS,TR1_p453-454,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR1_p453-454.json
gpt-5.4-mini,FS,TR2_p1785-1786,mainEntry,0.71,1.00,0.83,gpt-5.4-mini_FS_TR2_p1785-1786.json
gpt-5.4-mini,FS,TR2_p1785-1786,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR2_p1785-1786.json
gpt-5.4-mini,FS,TR2_p37-38,mainEntry,0.94,1.00,0.97,gpt-5.4-mini_FS_TR2_p37-38.json
gpt-5.4-mini,FS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR2_p37-38.json
gpt-5.4-mini,FS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_FS_TR3_p5-6.json
gpt-5.4-mini,FS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR3_p5-6.json
gpt-5.4-mini,FS,TR3_p7-8,mainEntry,0.92,1.00,0.96,gpt-5.4-mini_FS_TR3_p7-8.json
gpt-5.4-mini,FS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR3_p7-8.json
gpt-5.4-mini,FS,TR4_p131-132,mainEntry,0.92,0.92,0.92,gpt-5.4-mini_FS_TR4_p131-132.json
gpt-5.4-mini,FS,TR4_p131-132,relatedEntry,1.00,0.17,0.29,gpt-5.4-mini_FS_TR4_p131-132.json
gpt-5.4-mini,FS,TR5_p489-490,mainEntry,0.90,0.90,0.90,gpt-5.4-mini_FS_TR5_p489-490.json
gpt-5.4-mini,FS,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gpt-5.4-mini_FS_TR5_p489-490.json
gpt-5.4-mini,FS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_FS_TR5_p505-506.json
gpt-5.4-mini,FS,TR5_p505-506,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR5_p505-506.json
gpt-5.4-mini,FS,TR6_p1003-1004,mainEntry,0.89,0.94,0.92,gpt-5.4-mini_FS_TR6_p1003-1004.json
gpt-5.4-mini,FS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS_TR6_p1003-1004.json
gpt-5.4-mini,ZS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_ZS_TR1_p2001-2002.json
gpt-5.4-mini,ZS,TR1_p2001-2002,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR1_p2001-2002.json
gpt-5.4-mini,ZS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5.4-mini_ZS_TR1_p453-454.json
gpt-5.4-mini,ZS,TR1_p453-454,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR1_p453-454.json
gpt-5.4-mini,ZS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gpt-5.4-mini_ZS_TR2_p1785-1786.json
gpt-5.4-mini,ZS,TR2_p1785-1786,relatedEntry,1.00,0.12,0.22,gpt-5.4-mini_ZS_TR2_p1785-1786.json
gpt-5.4-mini,ZS,TR2_p37-38,mainEntry,0.94,1.00,0.97,gpt-5.4-mini_ZS_TR2_p37-38.json
gpt-5.4-mini,ZS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR2_p37-38.json
gpt-5.4-mini,ZS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_ZS_TR3_p5-6.json
gpt-5.4-mini,ZS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR3_p5-6.json
gpt-5.4-mini,ZS,TR3_p7-8,mainEntry,0.79,0.92,0.85,gpt-5.4-mini_ZS_TR3_p7-8.json
gpt-5.4-mini,ZS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR3_p7-8.json
gpt-5.4-mini,ZS,TR4_p131-132,mainEntry,0.83,0.42,0.56,gpt-5.4-mini_ZS_TR4_p131-132.json
gpt-5.4-mini,ZS,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR4_p131-132.json
gpt-5.4-mini,ZS,TR5_p489-490,mainEntry,0.90,0.90,0.90,gpt-5.4-mini_ZS_TR5_p489-490.json
gpt-5.4-mini,ZS,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gpt-5.4-mini_ZS_TR5_p489-490.json
gpt-5.4-mini,ZS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_ZS_TR5_p505-506.json
gpt-5.4-mini,ZS,TR5_p505-506,relatedEntry,1.00,0.12,0.22,gpt-5.4-mini_ZS_TR5_p505-506.json
gpt-5.4-mini,ZS,TR6_p1003-1004,mainEntry,0.89,0.89,0.89,gpt-5.4-mini_ZS_TR6_p1003-1004.json
gpt-5.4-mini,ZS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_ZS_TR6_p1003-1004.json
